"ВТБ об. 4-ИП класса ""А""",RU000A0JTXP5,,,3.58,,,3.58,,,3.58,,,3.58,,3.58,,,3.58,,,,3.58,,3.58,,,3.58,,,3.58,,,3.58,,,3.58,,,3.58,,,3.58,,,3.58,,,3.58,,
"ВТБ об. 4-ИП класса ""Б""",RU000A0JTXQ3,,,1.19,,,1.19,,,1.19,,,1.19,,1.19,,,1.19,,,,1.19,,1.19,,,1.19,,,1.19,,,1.19,,,1.19,,,1.19,,,1.19,,,1.19,,,1.19,,
"""Российские ЖД"" ОАО БО-18",RU000A0JTY57,,,,,20.44,,,,,,20.44,,,,,,20.44,,,,,,20.44,,,,,,20.44,,,,,,20.44,,,,,,20.44,,,,,,20.44,,
"""ФСК ЕЭС""(ПАО)-обл. сер.23",RU000A0JTYJ6,,10.22,,,10.22,,,,10.22,,10.22,,,10.22,,,10.22,,,10.22,,,10.22,,,10.22,,,10.22,,,10.22,,,10.22,,,10.22,,,10.22,,,10.22,,,10.22,,
"""ФСК ЕЭС""(ПАО)-обл. сер.28",RU000A0JTYK4,,10.22,,,10.22,,,,10.22,,10.22,,,10.22,,,10.22,,,10.22,,,10.22,,,10.22,,,10.22,,,10.22,,,10.22,,,10.22,,,10.22,,,10.22,,,10.22,,
ПАО НК Роснефть обл.06,RU000A0JTYL2,,,,,,34.90,,,,,,34.90,,,,,34.90,,,,,,34.90,,,,,,34.90,,,,,,,,,,,,,,,,,,,,
ПАО НК Роснефть обл.09,RU000A0JTYM0,,,,,,34.90,,,,,,34.90,,,,,34.90,,,,,,34.90,,,,,,34.90,,,,,,,,,,,,,,,,,,,,
ПАО НК Роснефть обл.10,RU000A0JTYN8,,,,,,34.90,,,,,,34.90,,,,,34.90,,,,,,34.90,,,,,,34.90,,,,,,,,,,,,,,,,,,,,
"""ТКБ"" ПАО БО-2",RU000A0JTYQ1,,,,,,0.50,,,,,,0.50,,,,,0.50,,,,,,0.50,,,,,,0.50,,,,,,,,,,,,,,,,,,,,
ДОМ.РФ (АО) обл. сер.А26,RU000A0JTZF1,,0.13,,,0.13,,,0.13,,,0.13,,,0.13,,,0.13,,,0.13,,,0.13,,,0.13,,,0.13,,,0.13,,,0.13,,,0.13,,,0.13,,,0.13,,,0.13,,
"""Российские ЖД"" ОАО БО-09",RU000A0JTZM7,,,,,,20.44,,,,,,20.44,,,,,,20.44,,,,,,20.44,,,,,,20.44,,,,,,20.44,,,,,,20.44,,,,,,20.44,
"АКБ ""Держава"" БО-01",RU000A0JU0B2,,,,15.12,,,15.12,,,15.12,,,15.12,,,15.12,,,15.12,,,15.12,,,15.12,,,15.12,,,15.12,,,15.12,,,15.12,,,,,,,,,,,,
ПАО ОТКРЫТИЕ ФК Банк БО-02,RU000A0JU0N7,,,0.05,,,,,,0.05,,,,,,0.05,,,,,,0.05,,,,,,0.05,,,,,,,0.05,,,,,,0.05,,,,,,0.05,,,
Национальный стандарт Банк Б-2,RU000A0JU0U2,,,,,,,27.73,,,,,,27.73,,,,,,27.73,,,,,,27.73,,,,,,27.73,,,,,,27.73,,,,,,,,,,,,
"""Россельхозбанк"" (АО) обл.21",RU000A0JU1Q8,,,,,,,36.90,,,,,,36.90,,,,,,36.90,,,,,,36.90,,,,,,36.90,,,,,,,,,,,,,,,,,,
Белгородская обл.2013 обл.,RU000A0JU286,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Самарская область 2013,RU000A0JU2H5,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
